"PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "PC7" "PC8" "PC9" "PC10" "PC11" "PC12" "PC13" "PC14" "PC15" "PC16" "PC17" "PC18" "PC19" "PC20" "PC21" "PC22" "PC23" "PC24" "PC25" "PC26" "PC27" "PC28" "PC29" "PC30" "PC31" "PC32" "PC33" "PC34" "PC35" "PC36" "PC37" "PC38" "PC39" "PC40" "PC41" "PC42" "PC43" "PC44" "PC45" "PC46" "PC47" "PC48" "PC49" "PC50" "PC51" "PC52" "PC53" "PC54" "PC55" "PC56" "PC57" "PC58" "PC59" "PC60" "PC61" "PC62" "PC63" "PC64"
"tuning_equal_tempered_deviation" 0.0915514269517569 0.089012559318407 -0.228648932055627 0.024727573832519 -0.00199899569006177 -0.0642601749426902 0.0580039021642478 -0.329808494049715 0.362009259466022 -0.12809654051289 0.00514355858219568 -0.0713746756805605 0.00819342066831389 -0.109815164551283 0.0360616467436696 -0.0478226648866646 0.0124854722407257 -0.0256989463423846 0.033948198140025 0.0148918025714028 -0.0485350104831514 -0.0118331566989455 -0.0278770217952696 -0.0123689500254641 0.202248299711431 0.162410355647056 -0.0517897855197641 -0.050023509484207 -0.0184671541071431 0.190531650347448 -0.0363593217298646 -0.0381883710353409 0.265074608235274 -0.0598704176542873 -0.0261352984685268 -0.0075776935504212 0.00045016992323122 0.0508155704352429 0.0285526519123441 0.036581936033484 -0.00642985080692092 -0.0234356188818133 -0.0749060133523356 -0.0146036468190141 -0.125630682903287 -0.141231122601195 0.0580468976966364 0.234149564461345 0.0166305510446893 -0.493020685202884 -0.0978520637682749 -0.244926262025165 0.160400361699413 0.0908577745617228 0.0180206809382981 -0.0376374996014163 -0.0120426563869231 -0.00551596672372517 -0.00284750809058535 -0.00977346548000497 0.0107603907812926 0.0039337883482088 0.00459005103163477 0.000806217023938808
"chords_changes_rate" 0.0677394337313525 0.02512410878863 -0.310089442241993 -0.00375942526132588 -0.0330151097110114 -0.0273164791886959 0.149370851049138 -0.069254796038078 -0.164447779872436 -0.186263601675723 -0.0175473820603298 0.10804815483426 0.23098916555761 -0.15776854564621 -0.0571455401789693 0.149978807048634 0.0446516220504704 0.00412532220597964 -0.124769906465971 0.0759070616220003 0.0678872793333036 -0.00900086037965244 0.350613418578891 0.194319868092563 0.0795367966246638 -0.16409019353242 -0.0287890408326951 0.0280892584637027 0.00788402116793912 0.028509533437118 0.0852935167027386 0.0273717446891697 -0.464705137298524 -0.0782674884344217 -0.0347537169607214 0.178817097920719 0.0603764981525363 -0.306321322502088 0.0674228941524844 -0.142706887877411 -0.0636858573154466 -0.0456771145955268 0.0617288940855488 0.0910248988623778 -0.171924740081156 0.0313333442495824 0.122377815819078 0.0215320958931695 0.00838726025417018 -0.0782940618130309 -0.0551721797612988 -0.0265023881338064 0.0404380680984479 0.0265764756088058 0.0507953788315669 -0.0341520036917838 0.0253672071312966 -0.0166747055689301 -0.0078436299964414 0.0189578260647465 -0.00970967048563454 -0.0104422580920452 -0.000737221248838339 -0.00196824924930553
"key_key" -0.0163384926087855 -0.0217918708829841 0.0213263689013494 0.00720975847509777 -0.0136262470649335 -0.000596849477933634 -0.0176121730921615 -0.0861879958261685 -0.186658543772657 -0.225174419576761 0.573421736622453 -0.224320232191688 -0.156161919246374 -0.00203665953845599 0.0120129370850425 0.0251773809367084 0.00797049739379746 -0.0370039366021451 0.0268084319392597 -0.0420395348018666 0.00203970823629513 -0.0208883403957358 0.131625417819168 0.00176205628939565 -0.11319944875799 0.324998949863459 -0.127653368703358 0.560815679096001 0.143514634545487 -0.0443266892100599 0.0025800272811766 0.0638572775443557 -0.00148501715074061 0.01093760247406 -0.017603444980999 0.00302786312936775 -0.020707327510433 0.0178565989565735 0.00732964015371985 -0.00636577674075586 -0.0380489452844255 0.000112150073025964 -0.00848526416926175 0.00962612182592762 -0.00424703289893691 -0.00794467235893782 -0.00190796447365729 0.0062234339361793 -0.00233958908754857 -0.0154296139174248 -0.00173936645755252 0.00630706063965839 -0.00258517978522031 -0.000425763474409771 -0.00721217621543658 -0.000370558788672915 -0.00514527286197292 -0.000274105430009415 -0.00047886147595389 0.000874827424433468 -0.00247350983126714 -0.000811684961300963 -0.000891168790761319 0.000523838794410649
"tuning_diatonic_strength" 0.0240917715775592 -0.043960079902526 0.277038402018497 0.114597878724115 0.01582694569881 0.0264879540601735 -0.232035414460959 -0.327378255907339 0.156722030033678 -0.022670823114619 0.0280984557534931 0.0764088815511488 -0.0221383945302725 -0.00356485204293759 -0.118947059709802 0.278259314405173 -0.0550627021154693 -0.0521042563707901 0.0132177251355314 -0.0091630455339423 0.090355364244999 -0.00184460676582082 0.32356436455803 0.11772827655833 0.0430748368954366 -0.114181902089667 -0.0653685062433635 -0.0107915005749104 -0.0208458022738828 -0.0318529702836903 -0.0542491462887241 -0.0210480882819739 -0.121205730291793 0.0664122331383185 0.14668399431463 -0.0157788073933195 0.00550018750423559 0.103048516758092 -0.131770597568148 0.16669658305572 0.554242540480301 -0.0956150793624729 0.0412611085061031 -0.155233810566277 0.142527543083324 -0.00944292598498933 0.00185958771662423 0.0405995543683579 -0.0173245391985915 0.0199731807295342 -0.0382418778973028 -0.0178527770045919 0.00218238648782354 -0.0147981534765916 0.0269595386092735 0.0239131970250247 -0.0058630154762142 0.00802282761006829 0.00270071027373064 0.000140095632938432 -0.00582615638709034 0.00372833701916112 -0.000866413739568846 -0.00109616993302784
"key_scale" -0.0228732909101843 -0.0494915386860985 0.147653268822099 0.055429859306052 -0.00949265785270143 0.0306493061163301 -0.148616390732277 -0.198749538556178 -0.105495486506082 -0.0727104410708339 0.0988987725665656 0.347473183413424 0.353776671717644 0.0339028503971053 0.0234330036379281 -0.335298749375303 0.0435988817316474 -0.0407550643933069 -0.0146327579022431 -0.0380280300892702 0.0181144904587011 -0.123252246463791 0.0961750841612807 0.159520818159132 -0.209903837097145 0.516773808121495 0.225592001432331 -0.298332444299251 0.00882175012389852 -0.099221559295876 -0.0138470520303659 0.0124537292906178 -0.0301636957905634 -0.0051915789985901 0.0022412129243354 -0.00803012001640339 -0.0197623565375528 0.0137714768800578 0.0019192941667686 -0.0222904754098469 -0.0574710072472261 0.000165585945577937 -0.0150629312237374 0.00922602477602124 -0.0154993033150284 0.00235244039354576 0.00754926698275731 0.0164203481420471 0.0103242223372006 0.00198764503497637 0.00958879632697532 0.00134278724948685 0.00533421746716754 0.00526532603459562 0.0026198641943707 -0.00280416357670419 0.00572458191872707 -0.00251161545179627 -0.00124908856352264 -0.00239923962911235 0.00160131242914455 -0.00184345506795025 -0.00108116741115483 5.84255946142063e-05
"chords_number_rate" -0.0268612818918939 -0.0432005303191698 -0.149081276477349 -0.0304880035644379 -0.0577933735903841 0.0800039439596546 0.0465206590346593 -0.128386679270945 -0.21827621358187 -0.347931808094774 -0.244792138540958 0.185894715672127 -0.293622456754623 -0.0794238073552103 0.143620102345893 0.00708386910167022 -0.0510769329440163 -0.220473181356218 0.185960348975603 -0.0192812578588744 -0.0171434103306366 -0.0704179533988084 -0.0706298913487163 -0.00867032926240472 0.00042511177739768 0.0216494450859481 -0.362752911327637 -0.120991417097728 -0.073984750397558 -0.521927868545265 -0.0502183674932257 0.0638427489462981 0.0983050008876819 -0.0991986846693513 -0.0947402440532928 0.00887428052430381 -0.0209945618991659 0.0253182049436857 0.0169230156693496 0.000485587568083314 0.0685939942424273 0.0685034679292092 0.03486517217093 -0.0114011641798755 0.018682335659787 -0.00110857159054651 -0.0133859757619878 0.00240987008546224 0.00889757857680086 -0.000545588608851733 0.00359490966570246 0.010853622829075 -0.00480032094161355 0.00203770248377104 0.00192953751240783 -0.000372641183055702 -0.00330997735909317 -0.0166852948932388 -0.00252637576678478 0.00140791674644899 -0.00758814323066848 0.00454451903847162 0.00133903783974153 4.92197992554364e-05
"tuning_frequency" -0.0747873049292714 -0.0869949278605358 0.0631036599310664 -0.00542227744291476 0.00133655943196211 0.114025261724102 -0.0665784346273539 0.14508433883451 -0.306791564799545 0.00920599279720311 -0.0198407767575515 0.104077138060195 0.00835038112159132 -0.0514527051776383 -0.0860542197309724 0.421231516651154 -0.0305328727809216 0.224955500838012 0.0855408593547631 0.394304374315497 -0.157905024807643 0.0665226808417888 0.00700155498263863 0.0723618746712436 0.421034189494366 0.355918456199712 -0.0397276280564251 -0.116064377619616 -0.0476547974467497 0.171904273162651 -0.0528151760469272 0.0976012678829139 0.173710532933078 -0.0264148362621548 -0.00972451243400155 0.0395591672199876 -0.00898679366047918 0.0425266010243596 0.0197162128566467 0.0284564726796205 -0.0399959084063542 -0.0159331723903284 0.011322102451543 -0.00147918747844911 0.00561811368194376 -0.00328649234739065 -0.00664466585122108 -0.0073455945039802 -0.0113697470289298 0.00824704716009914 0.00825683541614654 0.0184475059589393 -0.0251328995474709 -0.00681557404526563 0.00367388579551346 0.00368753717686114 0.00841951559883777 -0.00986355263552091 -0.00206956730358656 -0.000429865852457514 -0.00107309504704407 0.00267410572773388 -0.002326558708047 0.000341828885246025
"tuning_nontempered_energy_ratio" 0.111166258514119 0.0676575004364196 -0.202724306518997 0.0483179049702225 0.00714575348312332 -0.0357826573621948 0.0579102637195071 -0.341034868253578 0.366678532897593 -0.135745596860875 0.00651818960173829 -0.0890136869341212 0.0219702436657746 -0.165721530117891 0.016233843465929 -0.0224522279727027 0.0249127935760415 -0.0103211009361245 0.0207910084518143 0.0271543975042704 -0.0491637369860141 -0.0179134487941921 -0.0235195737047963 -0.0222431813548911 0.186963761767869 0.169259376780766 -0.0482987039549505 -0.0366544272326801 -0.0196430271188652 0.140843047388954 0.00568773640635414 -0.0310781683569545 0.0659401111448605 -0.0519560429888775 -0.0269047524038311 0.0149995498902381 0.0158766451305742 -0.0977760627253212 0.00820249435422683 -0.0740289926397597 -0.0524855805774626 0.0107565182362326 0.0819115784586269 0.0199819628981356 0.0802156994577221 0.136071695340538 -0.0772620398739755 -0.253823874298741 -0.0305209211906366 0.516497188373359 0.126673287837931 0.263130124167962 -0.189686680050992 -0.119375512513582 -0.00657993624209329 0.0481081304424552 0.00862435179519513 0.0139513126218047 0.00925873860561803 0.012737626806726 -0.010546859453801 -0.00266932416222675 0.00232142060591106 -0.00177077430633049
"key_strength" -0.04063678168625 -0.0701175518878982 0.336935374602209 0.0928810465525935 0.0294492576175578 0.0404991419363754 -0.217551797486508 -0.146699924472365 0.0903778930936096 0.0427398601287751 -0.0199615377780548 0.0601410019234159 -0.0544120135495508 0.054008263188828 -0.0673723461212623 0.148256788617717 -0.0835561353178855 -0.095376101077227 0.021952053338059 -0.12807821477934 0.127188652306997 0.000892259914781795 0.34088898498036 0.127943899968916 0.00840520988287363 -0.223330304899506 -0.127109738923582 0.00240448230262857 -0.0479828482703473 0.0270950419060813 -0.0815015651689592 -0.027416565367023 0.268397946190504 -0.0804973599083806 -0.190803825336912 -0.0184358619943683 0.0370053305313369 -0.0106598393950551 0.099257717193274 -0.144238382867885 -0.540828396133428 0.0969329688108113 -0.0583613734149453 0.146648172001701 -0.12168076834775 0.0136418811518679 -0.00743490953346945 -0.0475070521661095 0.0135821968877653 -0.0110113976027307 0.0272012194738394 0.0230506943935945 -0.0181565807579893 0.0196560006615401 -0.0326057278627999 -0.0183018275660408 -0.000468759197311194 -0.00588672782692584 -0.00153847728545888 -0.000410950177140598 0.00131007120313661 -0.00185358956599619 -0.0036452025149711 0.000976218515496766
"chords_key" -0.00423764397460642 -0.00654702401708663 -0.00745830174857324 -0.00333583336671317 -0.00849112330999285 -0.0193564028081957 -0.0140000892315963 -0.106498991522694 -0.187515698511003 -0.194474581793445 0.60444697416017 -0.154236874072133 -0.157885489233409 0.00885149588953066 0.0386016329537957 -0.00927354944478428 0.0278515812247191 0.0439126804921523 -0.0272081253114609 0.00737032050579213 -0.0202731191820479 0.00649172137966459 -0.107061018207147 -0.0299710807193708 0.0973406318080133 -0.334573114328837 0.151586704811908 -0.561205525303666 -0.138242927097768 0.00427979972236917 -0.0116732204809222 -0.0545402651751585 0.0176649924180776 -0.00686063594416997 0.00703813891671771 -0.000973959251180283 0.0106037654552628 -0.000401439515108917 0.00655922266346675 0.00242468678485697 -0.0130345595160579 0.00650286007629114 0.00399423260476993 0.00378852432575849 -0.000832378998683991 0.00976533648503819 0.00178783453544299 -0.00284364955063998 -0.00399087389369202 0.0115812916181681 0.0060963499539865 -0.00342118555304555 0.00363077531573486 0.00893790356963817 0.00495800317391701 -0.00284967331380961 0.00437770322949789 0.00178916477292637 0.00172981170216401 -0.000746949651643347 0.00123611803824288 0.00205797200082709 0.00184732073827035 1.07408714756421e-05
