"eigenvalue" "variance.percent" "cumulative.variance.percent"
"Dim.1" 15.4210794764491 24.0954366819516 24.0954366819516
"Dim.2" 9.14298532500075 14.2859145703137 38.3813512522653
"Dim.3" 4.84241563075603 7.56627442305629 45.9476256753216
"Dim.4" 3.82432856165092 5.97551337757957 51.9231390529012
"Dim.5" 3.18794586274324 4.98116541053631 56.9043044634375
"Dim.6" 2.58870420628153 4.04485032231488 60.9491547857524
"Dim.7" 2.24773225184623 3.51208164350974 64.4612364292621
"Dim.8" 1.88976238819049 2.95275373154764 67.4139901608097
"Dim.9" 1.76540768356949 2.75844950557733 70.1724396663871
"Dim.10" 1.6506972796297 2.5792144994214 72.7516541658085
"Dim.11" 1.49608396459748 2.33763119468357 75.089285360492
"Dim.12" 1.418844154841 2.21694399193905 77.3062293524311
"Dim.13" 1.31243164638439 2.05067444747561 79.3569037999067
"Dim.14" 1.11427775796477 1.74105899681995 81.0979627967266
"Dim.15" 0.967578883351017 1.51184200523596 82.6098048019626
"Dim.16" 0.884079087509055 1.3813735742329 83.9911783761955
"Dim.17" 0.781366397416774 1.22088499596371 85.2120633721592
"Dim.18" 0.70623924491125 1.10349882017383 86.315562192333
"Dim.19" 0.702348081608418 1.09741887751315 87.4129810698462
"Dim.20" 0.676582024362793 1.05715941306686 88.4701404829131
"Dim.21" 0.625177452480381 0.976839769500595 89.4469802524137
"Dim.22" 0.610747962926243 0.954293692072255 90.4012739444859
"Dim.23" 0.555048101300666 0.86726265828229 91.2685366027682
"Dim.24" 0.493353200789297 0.770864376233276 92.0394009790015
"Dim.25" 0.464562181652415 0.725878408831898 92.7652793878334
"Dim.26" 0.444785895938591 0.694977962404048 93.4602573502374
"Dim.27" 0.403561067870117 0.630564168547057 94.0908215187845
"Dim.28" 0.352230994228534 0.550360928482085 94.6411824472666
"Dim.29" 0.333572583090488 0.521207161078887 95.1623896083454
"Dim.30" 0.325334645341511 0.508335383346111 95.6707249916916
"Dim.31" 0.289736605369781 0.452713445890283 96.1234384375819
"Dim.32" 0.245919069993285 0.384248546864508 96.5076869844464
"Dim.33" 0.229802067986523 0.359065731228941 96.8667527156753
"Dim.34" 0.194508361432014 0.303919314737521 97.1706720304128
"Dim.35" 0.184278368022401 0.287934950035002 97.4586069804478
"Dim.36" 0.151734615485374 0.237085336695897 97.6956923171437
"Dim.37" 0.147972697654053 0.231207340084457 97.9268996572282
"Dim.38" 0.134300181380072 0.209844033406362 98.1367436906345
"Dim.39" 0.132731012162618 0.20739220650409 98.3441358971386
"Dim.40" 0.117674629641162 0.183866608814316 98.5280025059529
"Dim.41" 0.113465519599028 0.177289874373481 98.7052923803264
"Dim.42" 0.112055096828906 0.175086088795165 98.8803784691216
"Dim.43" 0.0926208439763585 0.14472006871306 99.0250985378347
"Dim.44" 0.0828586742941766 0.129466678584651 99.1545652164193
"Dim.45" 0.0757396779440807 0.118343246787626 99.2729084632069
"Dim.46" 0.0642310002341365 0.100360937865838 99.3732694010728
"Dim.47" 0.058947209398386 0.0921050146849781 99.4653744157578
"Dim.48" 0.0531442052979434 0.0830378207780365 99.5484122365358
"Dim.49" 0.049030341287982 0.0766099082624719 99.6250221447983
"Dim.50" 0.0406210831308553 0.0634704423919613 99.6884925871902
"Dim.51" 0.0314092401958197 0.0490769378059682 99.7375695249962
"Dim.52" 0.0298459743761463 0.0466343349627285 99.7842038599589
"Dim.53" 0.0262970149366284 0.0410890858384819 99.8252929457974
"Dim.54" 0.0249350058807678 0.0389609466886996 99.8642538924861
"Dim.55" 0.022763974861367 0.0355687107208859 99.899822603207
"Dim.56" 0.0198545033670177 0.0310226615109651 99.9308452647179
"Dim.57" 0.0129555240507159 0.0202430063292436 99.9510882710472
"Dim.58" 0.00823993315681051 0.0128748955575164 99.9639631666047
"Dim.59" 0.00721585464246153 0.0112747728788461 99.9752379394835
"Dim.60" 0.00632155566979346 0.00987743073405228 99.9851153702176
"Dim.61" 0.00410600239609771 0.00641562874390267 99.9915309989615
"Dim.62" 0.00304195653752326 0.0047530570898801 99.9962840560514
"Dim.63" 0.00221491985973746 0.00346081228083978 99.9997448683322
"Dim.64" 0.000163284267372332 0.000255131667769269 100
