"Dim.1" "Dim.2" "Dim.3" "Dim.4" "Dim.5" "Dim.6" "Dim.7" "Dim.8" "Dim.9" "Dim.10" "Dim.11" "Dim.12" "Dim.13" "Dim.14" "Dim.15" "Dim.16" "Dim.17" "Dim.18" "Dim.19" "Dim.20" "Dim.21" "Dim.22" "Dim.23" "Dim.24" "Dim.25" "Dim.26" "Dim.27" "Dim.28" "Dim.29" "Dim.30" "Dim.31" "Dim.32" "Dim.33" "Dim.34" "Dim.35" "Dim.36" "Dim.37" "Dim.38" "Dim.39" "Dim.40" "Dim.41" "Dim.42" "Dim.43" "Dim.44" "Dim.45" "Dim.46" "Dim.47" "Dim.48" "Dim.49" "Dim.50" "Dim.51" "Dim.52" "Dim.53" "Dim.54" "Dim.55" "Dim.56" "Dim.57" "Dim.58" "Dim.59" "Dim.60" "Dim.61" "Dim.62" "Dim.63" "Dim.64"
"tuning_equal_tempered_deviation" 0.827850701273389 1.16318756423418 1.2110661540884 3.69643991497801 0.00132273392403527 0.448121257961779 1.94469484452851 1.08833339867462 9.62559348503664 5.39800124376663 6.99197902772201 0.0321890581251781 0.0656476051751516 0.241864940211037 0.000423419924288481 0.329292551079872 0.193984945261145 0.0243981122116835 0.157169756953305 0.244244469891893 0.232532738835986 0.690891740931727 0.00528664970676783 4.85572942056597 0.952459328703993 0.6833634781393 2.11660765756156 1.73490300598334 1.25762953527576 7.37085735056112 1.62056985440911 0.204131290189993 0.121875934473772 0.095337965787069 0.502222178596007 1.05187089774771 0.0787491493884645 0.0595472147704851 0.12418468127856 0.127759676185432 0.0675935837142508 0.0331366597379492 0.0974981343508334 4.22163257471244 2.5074586166185 3.04866633600806 31.3697439951286 0.28438756055384 0.0262661043848163 0.0465571313379568 0.0280429364523952 0.0297067624572564 0.136505033409622 0.0288281181571378 0.337985107289522 0.0867086335276801 0.0172487397734759 0.0256012165694513 0.01867665252166 0.00365309772211268 0.00253376367951704 0.00258183915543714 0.00635265226084125 0.000319816362768067
"chords_changes_rate" 0.507787926073036 0.0527640778187191 1.1677271986058 9.10956800136696 3.25667345042566e-05 0.021797938356826 0.130974124832191 3.48616197970869 2.37037691706429 1.90775907349631 0.0272596141707297 0.885673085572783 2.15304321630069 5.1552820063105 0.401194464547338 1.23128351097593 0.686765614084786 9.76190791132047 0.154595405805588 2.82374123184101 2.90412729819395 0.330310600927877 5.02744083776144 0.154851854717085 0.0385657701382141 0.735094584221309 1.05265261755263 0.358844531512426 4.08334017523718 2.23371717095054 18.256200523002 0.244123045982374 1.75410968783219 0.610670929601199 1.17965244291786 3.46377623649655 0.17543739827423 2.539627363884 3.36025567508576 0.758121524611779 3.84749734983191 0.43912870712968 0.073178007377253 0.0733537018743128 1.05457196445393 0.286015813396561 1.74641179480432 0.0848490689516734 0.447879819363864 0.023541390999237 0.00660103069993929 0.151817292721229 0.104332851632407 0.0542583230454216 0.0137298759871065 0.244775770496011 0.0162513450939747 0.00251909235999468 0.0138356690023081 0.00994736465044009 6.57734790108788e-05 0.00851818214310313 0.000295215431336588 8.46118719045424e-06
"key_key" 0.023267876109312 0.196531757570558 0.0508224052894685 0.0402942728256836 0.0533515982247208 0.063389325825824 1.47145081944323 0.608146561643991 4.77388092020809 1.30940711232678 1.84485196036805 27.4067616837718 11.1324753692154 0.125515005541697 0.0805166982237978 0.224288573379831 0.145483014299823 1.62382720339171 0.110252191030201 0.0496023448741471 3.72840699207052 1.27500107169799 9.31891412087416 10.1669675147954 17.141770789723 4.29190196114175 0.843525732547932 0.525843203422836 0.659464412845497 0.0805301241275539 0.0279856273369462 0.0127174513058655 0.0058190162296167 0.00693772240673485 0.0236696533015758 0.001966397280586 0.122063186388537 0.0191094316887965 0.00808558454690366 0.150555980701604 0.066209080379988 0.00203913445366667 0.000299606773912086 0.0703847197823828 0.00688714201205989 0.0172592300661205 0.0427849793286418 0.00207255225910158 0.0141248311954738 0.0192901307993098 0.000369113848445543 0.00508696295955493 0.000437531984419075 0.000692901190655266 0.00396404928281469 0.00093390702493607 7.44513786093192e-05 0.00023845211198491 0.000468223112139341 0.000562314331593576 0.000217612001928065 0.000158125101446479 9.21488545682368e-05 1.31768387021807e-07
"tuning_diatonic_strength" 0.0617861626606196 0.113639451073781 0.150974407545117 9.23369021278221 0.00177920362108405 2.56895770039181 2.3712742378396 5.61373176189323 2.93689244972489 1.7451611879848 0.0921279861525564 0.00183873888385114 3.86556484721525 0.0426600694130072 9.57843992426903 1.2791473508727 0.559826005595504 5.39373200533432 0.0346926570211957 2.02147816132171 1.94566575560204 0.406021537368514 2.19832117715678 0.390587300935511 0.0849658423407242 0.153416415394789 0.00610696459982824 0.00323041212567093 0.246902683648064 0.900783085624009 1.33878116009271 2.00203513707168 0.43440200248017 2.12189508213942 0.440404479443976 2.41086138538687 2.19151125383427 26.6475311947225 0.336163315693038 3.1051742936499 1.04486307855476 2.42600510821891 0.000174334375332345 0.748253961201775 0.236138837238901 0.0372616111878386 0.10909053908741 0.00178132603308711 0.00886118142869083 0.0074717277300825 0.0477615472074645 0.0452701021161154 0.0187069306812271 0.160837072092676 0.0534626156868831 0.00761708524381094 0.000116434401957641 0.00565197896703507 0.000296826037678703 0.00308473883881578 0.00394315778321078 0.00111487805439575 1.39109299956315e-05 6.6015995261901e-05
"key_scale" 0.0236280952962051 0.513634441764164 0.157477284960789 1.89578145325382 0.0154189108923546 0.285647585180021 0.393984482026627 2.30407702567421 3.28671413797934 0.604368868545261 5.91634683127327 0.480877212099963 11.4640262133874 4.77206767005405 16.4119724168702 5.40099416249101 0.233647764158082 0.28476869284097 0.63555142766898 0.0856428391037886 3.74877620565168 0.00979504878318864 18.6696039369959 8.51398183521868 7.6677865466088 2.68748185504818 1.71917294558057e-05 0.385599226181826 0.0494887005782448 1.81061600783306 0.399320613889564 0.00501784617081949 0.0368805438673236 0.00274210608023336 0.364182979230289 0.110510176954224 0.0193752088689315 0.0413112021919787 0.169395240055238 0.000178678750172981 0.00232533271638936 0.00984998058703088 0.00833223882873717 0.000937818798232876 0.000671673637885289 0.0142098688482722 0.00856322719708691 0.00769704832083312 0.0105222361425773 1.34599920751554e-06 0.0280118131150667 0.00543544969251606 0.00876109446238887 0.024492759391349 0.00483961409353121 0.00021267921219138 0.0011628874386682 0.00108021510167042 0.00252526688435128 4.8366486688509e-05 0.00142787396610236 0.000145244737124122 6.55702085606819e-06 5.07411129146085e-05
"chords_number_rate" 0.100467036060004 0.28947735018011 0.00199182537583016 2.53161292218531 0.107882336845795 0.619923564838475 3.03340243799927 2.00847904681998 2.23895483286157 17.9541483870873 3.88961370812623 0.62862864777687 3.69121159378497 4.68834289539872 1.48947681375119 0.904114895486768 0.110073605143382 3.43559168174111 1.22722471548815e-06 2.74589132979305 0.114768236550248 0.189171330676793 0.028311343533721 0.472270605613985 1.13339906801489 0.532349570048194 14.1718697869442 1.29850691898237 1.51638547660344 11.7194681004881 13.3140136825068 0.914340004539501 2.72787298060156 0.000262143011434955 0.120733188879756 0.000665963629299579 0.0139857532092091 0.699099562279101 0.114722367146223 0.00233935905293183 0.0497262992628042 0.0725285132568162 0.00947633575087964 0.0673508393212492 0.068214237519345 0.00933865924011746 0.0460053867455245 0.024905922596747 0.00190289298825139 0.00918383118882277 2.94543493695537e-06 0.0456374137437605 2.28043268328782e-07 1.82840671137546e-06 0.0176425904729312 0.0065657101873809 0.0102442999431876 0.00325156337346234 0.000704754786825098 0.0014335021953031 0.00180861839366421 0.000236836524942049 1.23739579216619e-05 2.83587281079096e-06
"tuning_frequency" 0.591916121260964 0.518637467332499 0.386167371223336 0.338850196717688 0.0299046423282238 0.317665692547997 0.137878636423297 1.1053465325042 4.25564694424586 7.07836696610208 7.24749407401523 1.39279960321788 0.0552255717506643 0.00448746861070951 4.80554635471382 16.9635238919454 5.86342981731921 1.5673958275755 0.0189538336249368 0.289986672077474 0.149261725693792 4.30236061520224 1.54717992130732 25.6654968233772 5.27498011343813 2.42845921586063 1.03314549380266 1.03886266844299 0.00839725665258207 2.88324914682816 1.08219155615832 0.280044620717745 0.0115861135555075 0.00492372214217858 0.0726095041308332 3.71462966053096e-05 0.030997498017966 6.92248384766651e-05 0.183659466826672 0.0680676023521219 0.041998603501107 0.379067233555767 0.00126186068996639 0.116917026404729 0.00112594746833366 0.0308262057587268 0.0141725100933415 0.0367733214282916 0.257106309191956 0.028577799169404 0.0106220320108699 0.000714377158675215 0.00295329711552562 0.0015879085086051 0.00317169096404891 0.00796428574283437 0.0126004725043311 0.0066218335631542 0.00856093496432891 6.63953544469963e-05 0.000861639049585853 0.000715017442438738 0.000784009411205261 0.000146167769126423
"tuning_nontempered_energy_ratio" 1.28911295028033 0.821695441656646 1.12462086189282 2.58191741482038 0.00575152422043213 1.10064438150962 2.23067862416508 0.801730421260188 8.67339195298799 5.12701277472203 8.82353033183394 0.108399535901617 0.0465134472463023 0.676196318494749 0.0381219401228996 0.0120891212205985 0.0882939710751574 0.393911930190811 0.102215773615357 0.403132199962976 0.246234627411049 0.423125436781317 0.209592622475579 5.80367068083021 1.97847934662173 0.133989700740989 0.517730419723999 1.47900870057326 0.274868299051167 0.997416692146589 0.0765069928730823 0.141786950147219 0.0059048537763609 0.0175247718015964 1.99080278347386 0.100116404978045 0.000793591977652297 0.973673702304946 0.00659660395939889 0.510977373567158 0.36978225258903 0.0123629339131518 0.23214979341524 3.93462126598906 1.90508899586221 3.12559697476732 38.4815743749438 0.248763785964714 0.162300111592583 0.0242994302803558 0.23644375314923 0.0921228266706024 0.166254147000642 0.0368950959485389 0.537565817213955 0.0223511076288553 0.00620411429815902 0.0250820238290469 0.0101975278052996 0.00158125828160759 7.38935656142153e-05 0.00976427083642714 0.0204270792807997 0.000735692778613403
"key_strength" 0.179061453007314 0.692099158930342 0.352132872544658 11.799268157078 0.0182144103561428 0.54947081458761 0.719156106372124 3.77706771122078 0.0395725485094045 1.19641315820483 0.448245490607952 0.00425933975838276 2.24002354341149 0.439757943968597 6.01108307373231 0.0216143470282855 0.509047101112711 2.69007526469279 0.0609063333522042 2.76821399563007 5.80139996012014 0.337475529774034 4.39805578326522 1.80974956022537 0.991397319514914 0.526782752495853 0.154597453680405 2.40246882786635 1.23666198871538 3.06927852994848 6.28479745933265 5.09518416235787 0.00740020219969818 0.309196766128243 1.09122534567864 1.30027412792354 2.53756980732033 20.0158684311284 1.17830535558061 1.90389922237891 1.02527476467007 2.31911528036881 0.00407168099912729 0.940819949034165 0.0946637629792623 0.107858500298935 0.00471207205843168 0.138424447766508 0.0196189671252108 0.0155594554558756 0.0152757430836388 0.0423983728443684 0.111113937964942 0.131744793918445 0.0465131206762233 0.000485705745984064 0.000731466981733569 0.000662946726134376 0.000746247035950105 0.00770125125022937 0.00398171071155699 0.00118765973518726 3.76986964459089e-06 6.29829586100405e-05
"chords_key" 0.00187108569445405 0.0245056147182113 0.00143588424350943 0.0318764268892512 0.00237373807164391 0.0402563403523851 0.930216414215375 0.622010933602386 6.64240432964141 2.16792671948213 4.93282957893146 26.2989893979799 7.37687879893437 0.223312160855476 1.2982469083572 0.000365425655661643 0.485947217789296 0.0855504024420482 0.185897543846646 0.0213649108746111 5.97743843587732 0.365029124294594 10.1683216664182 10.0595430923197 17.8027840136446 2.31868622472951 0.681929155141192 0.371520984864856 0.27665183186264 0.0219957191263075 0.145778733538186 0.00485126322372666 0.0111905650942614 0.0308576327720779 0.000586078534954698 0.104823377448957 0.0172123778277565 0.000189973180079203 0.0522476525621938 0.0247548983508736 0.0376039949017973 0.00720277015700627 0.00110856338356382 0.0867119383451794 0.00403554241587991 0.00220710332389084 0.00104760925713074 0.00187897835581774 0.00874281113863693 0.0153591374687978 0.000375742611597422 5.65114827191743e-05 1.30370618605474e-05 0.00621159455072819 3.6076826546439e-05 3.02308039812407e-05 0.00259850096885982 0.00154851743795851 0.00059023879275298 0.00893390437940898 0.00163164690338343 7.45496038426187e-05 0.00134318387024443 5.18256901826913e-06
