"PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "PC7" "PC8" "PC9" "PC10" "PC11" "PC12" "PC13" "PC14" "PC15" "PC16" "PC17" "PC18" "PC19" "PC20" "PC21" "PC22" "PC23" "PC24" "PC25" "PC26" "PC27" "PC28" "PC29" "PC30" "PC31" "PC32" "PC33" "PC34" "PC35" "PC36" "PC37" "PC38" "PC39" "PC40" "PC41" "PC42" "PC43" "PC44" "PC45" "PC46" "PC47" "PC48" "PC49" "PC50" "PC51" "PC52" "PC53" "PC54" "PC55" "PC56" "PC57" "PC58" "PC59" "PC60" "PC61" "PC62" "PC63" "PC64"
"tuning_equal_tempered_deviation" 0.090986301236691 -0.10785117357888 0.110048450879074 -0.192261278342208 0.00363694091790789 -0.0669418596964395 -0.139452316026967 0.104323218828534 -0.310251405879758 0.232335990405418 -0.264423505530844 0.0179413093516549 -0.0256217886134344 0.0491797661860075 -0.00205771699776349 0.0573840179039313 -0.044043722056741 0.01561989507381 0.0396446411199931 -0.049421095687155 0.0482216485446097 -0.0831198977941941 -0.00727093508894684 -0.220357196854697 0.0975940228038578 0.0826658017646536 -0.145485657628564 0.131715716829213 0.112144083003775 -0.271493229207675 -0.127301604640677 0.0451808908931634 0.0349107339472793 -0.0308768466309416 -0.0708676356735574 0.102560757492704 0.0280622788433984 0.0244022980004927 0.0352398469461149 0.035743485586248 0.0259987660696139 0.0182034776177381 -0.0312246912476062 -0.20546611824611 0.158349569516892 0.174604305101795 0.560086993199526 -0.0533280002019427 -0.0162068209050437 -0.0215771015982121 -0.0167460253351042 -0.0172356498157906 -0.0369465875839193 -0.0169788451188936 0.0581364865888472 0.0294463297420375 0.0131334457677625 0.0160003801734369 -0.0136662549813985 -0.00604408613614389 -0.00503365044427705 -0.00508118013402117 -0.00797035272797965 -0.00178834102667267
"chords_changes_rate" 0.0712592398270593 -0.0229704326948186 0.108061426911077 -0.301820608994266 -0.000570672712719441 -0.014764124883252 -0.0361903474468249 -0.186712666407737 -0.153960284393875 -0.13812165194119 0.0165104858107597 -0.0941102059063087 -0.146732519105367 0.227052461037323 -0.0633399135259386 -0.110963215119964 -0.082871322789297 0.31244052092071 0.0393186222807448 0.168039912873133 -0.170415002220871 0.0574726544478222 0.224219553959093 -0.0393512204025599 0.0196381695018182 -0.0857376570837639 0.102598860498186 0.059903633571965 -0.202072763509514 0.149456253497488 0.427272752735323 -0.0494088095365973 -0.132442806064814 -0.0781454368214292 0.108611806122441 -0.186112230562544 0.0418852477937317 -0.159362083441577 0.183310001775292 -0.0870701742625901 0.196150384904846 -0.0662667870904936 0.0270514338579775 0.0270838885454642 0.102692354362627 -0.0534804462767992 0.132151874553648 -0.0291288635122748 -0.0669238238121421 -0.0153432040328078 0.00812467273183313 -0.0389637386195459 -0.032300596222424 -0.0232934160323087 -0.011717455349651 -0.049474818897699 -0.012748076362328 -0.00501905604670308 0.0117625120626115 0.00997364760277808 -0.000811008501872076 0.00922939984132399 0.00171818343414371 -0.000290881198953357
"key_key" -0.0152538113628404 0.044331902459804 -0.0225438251611098 0.020073433394834 -0.0230979648940596 -0.0251772369067425 -0.121303372560009 -0.0779837522593002 -0.218492126178682 -0.114429328073129 0.135825327548586 0.523514676812138 0.333653643307179 0.0354280969770741 -0.0283754644409211 -0.0473591145799655 -0.0381422356843202 0.127429478669251 0.0332042453656459 0.022271583884885 -0.193090833341993 0.112915945361937 -0.305268965354721 0.318856825468664 0.414026216437112 0.207169060458886 -0.0918436569692176 0.0725150469504664 -0.0812074142455907 0.0283778301016046 0.0167289053248998 0.0112771677764701 -0.00762824765566555 0.00832929913422183 -0.0153849450117886 -0.00443440783034894 0.0349375423274931 -0.0138236868051893 0.00899198784858147 -0.0388015438741301 -0.0257311251949828 -0.00451567763870127 -0.00173091528941218 -0.0265301186922303 -0.00829888065467861 0.0131374388927677 0.0206845302892383 -0.00455252925207689 0.0118847933071946 -0.0138888915321957 0.00192123358404318 -0.00713229483375087 0.0020917265223233 -0.00263230163669604 0.0062960696333623 -0.00305598924235029 -0.000862852122958037 0.00154418947019111 -0.00216384637194821 -0.00237131678945175 -0.00147516779360202 0.00125747803736876 -0.000959941949121075 -3.62999155676439e-05
"tuning_diatonic_strength" 0.0248568225364023 0.0337104510610257 -0.0388554253026674 0.303869876966806 0.00421806071682716 -0.160279683690473 -0.153989422943253 0.236933150105536 -0.171373640030341 0.132104549050545 0.0303525923361674 -0.00428805186984852 -0.196610397670501 -0.02065431417719 -0.309490547905247 -0.113099396588695 -0.0748215213421582 0.232244095841731 0.0186259649471365 0.142178696059632 -0.139487123262401 0.0637198193161684 0.148267365834724 0.0624969840020709 -0.0291489008953552 -0.0391684076003593 0.00781470703214665 0.00568367145925143 -0.0496893030387894 0.0949095930675086 0.115705711185434 -0.141493290903551 0.0659091801253945 0.145667260636679 0.066362977588711 0.155269487839268 -0.14803753759889 0.516212467833958 0.0579795925902414 0.176215047417918 -0.102218544235122 0.155756383760632 -0.00132035743392592 -0.0865016740417072 -0.0485941187016393 0.0193032668706203 -0.033028856941682 0.00422057582929997 0.00941338484748755 0.00864391562318982 0.0218544153908231 0.0212767718688986 -0.013677328204451 0.0401044975149516 -0.0231219842761998 0.00872759144541662 0.0010790477373946 -0.00751796446322744 -0.00172286400414746 -0.0055540425266789 -0.0062794568102749 0.00333897896728289 0.000372973591499874 0.000812502278531581
"key_scale" -0.0153714330158919 0.0716682943681627 -0.0396834077368349 0.137687379714113 -0.0124172907239682 -0.0534460087546321 -0.0627681831843672 0.151791864922802 -0.181292971126278 -0.0777411646777472 0.243235417471907 0.0693453107354753 -0.338585679162414 0.218450627603906 0.405116926539366 0.232400390758944 -0.0483371248791322 0.053363722962418 0.0797214793935098 0.0292647978130362 -0.193617566497766 -0.00989699387854143 -0.432083370855624 -0.291787282711545 -0.276907684014164 0.163935409690774 -0.000414629104813033 -0.0620966364774958 0.0222460559601573 0.134559132273995 0.0631918201897654 0.00708367572014663 0.0192043078155198 -0.00523651227462837 -0.0603475748667905 -0.0332430710004693 -0.0139194859348079 -0.0203251573651912 -0.0411576530010201 -0.00133670770990887 0.00482217037897809 -0.00992470684052224 0.00912810978721069 0.0030623827295635 -0.00259166671832103 0.0119205154453456 0.00925377068933897 0.00877328235088392 -0.0102577951542119 -0.000116017205944443 -0.0167367300017258 0.00737255023212189 0.00936007182792358 -0.0156501627439937 -0.00695673349606783 -0.00145835253691068 0.00341011354454393 -0.00328666259550691 -0.00502520336339862 -0.000695460183536836 0.00377872196132815 0.00120517524503336 0.000256066804878496 -0.000712327964596425
"chords_number_rate" -0.0316965354668304 0.053803099369842 0.00446298708919279 -0.159110430902104 0.0328454466929277 -0.0787352249529062 -0.174166656912259 -0.141720818753632 -0.149631374813626 -0.423723357712167 -0.197221036102294 -0.0792861051998942 -0.19212526106124 -0.216525815906527 -0.122044123732001 0.0950849565118882 -0.0331773424407957 -0.185353491516645 -0.000110780174918085 0.165707312143823 -0.0338774610250308 -0.0434938306747972 0.0168259750189167 0.0687219474123067 -0.106461216788786 0.0729622895781235 -0.376455439420712 0.113952047764942 -0.123141604529234 0.342337086809011 -0.364883730556828 0.0956211276099326 -0.165162737341131 -0.00161908310915455 -0.0347466816947685 -0.00258062711234998 -0.0118261376658692 0.0836121738910729 0.0338706904485609 0.00483669210611119 0.0222993944453216 0.0269311182940509 -0.00973464727192497 0.0259520402514425 -0.0261178554861124 -0.00966367385631234 -0.0214488663442907 0.0157816103730725 0.00436221616641289 -0.00958323076463401 0.000171622694797494 0.0213629150032856 -4.77538761074724e-05 0.000135218590118943 0.0132825413505591 0.00810290700142912 -0.0101214129167758 -0.00570224812987154 -0.00265472180618817 -0.00378616190264376 0.00425278543270668 0.0015389493979402 0.000351766370218387 -0.000168400499132009
"tuning_frequency" -0.0769360852435945 0.0720164888988972 -0.0621423664840128 0.0582108406327969 -0.0172929587775556 -0.0563618392662976 0.0371320126606809 -0.105135461786412 0.206292194332356 -0.266052005557223 0.269211702457661 -0.118016931125067 -0.0235001216487626 -0.00669885707468782 -0.219215564107885 -0.411867987247679 -0.242145200599128 0.125195679940464 -0.0137672922628006 -0.0538504105905864 0.0386344050936198 -0.207421325210361 -0.124385687332077 -0.506611259481836 0.229673248625915 0.15583514417039 -0.101643764875306 0.101924612750944 -0.00916365464898261 -0.169801329406697 -0.104028436312305 -0.0529192423148466 -0.0107638810637741 -0.00701692392874441 0.0269461507697914 0.000609477617352021 0.0176061063321696 0.000832014654177829 -0.0428555091938799 -0.0260897685601314 -0.0204935608182441 0.0615684361954863 -0.00355226785302909 -0.0341931318256648 0.003355514071396 0.0175573932457887 -0.0119048351913588 -0.0191763712490897 0.0507056514790961 -0.0169049694378322 0.010306324277292 -0.00267278349043692 0.0054344246388423 -0.00398485697184366 0.00563177677473895 0.00892428470121521 -0.0112251826285059 -0.00813746493888251 -0.0092525320665907 -0.000814833445846428 -0.00293536888582313 0.00267398100673647 0.00280001680567325 -0.00120899863162215
"tuning_nontempered_energy_ratio" 0.113539110014141 -0.0906474181461692 0.106048142930125 -0.160683459472977 -0.00758388041864593 -0.104911600002555 -0.149354565519942 0.0895394003363987 -0.294506230035767 0.22642907884638 -0.297044278380075 0.0329240847863106 -0.0215669764330335 0.0822311570206056 -0.0195248406198103 0.0109950539883161 -0.0297143014515161 0.0627624035701956 0.0319712016689015 -0.0634926924900005 0.0496220341593378 -0.0650480927300192 -0.0457812868403215 -0.240908087884783 0.140658428351156 0.0366046036368364 -0.0719534863452772 0.121614501625968 0.0524278837119301 -0.099870751080914 -0.0276598974822905 -0.0376546079712987 -0.00768430463761094 -0.0132381161052457 0.141095810833414 -0.0316411764917243 -0.0028170764591191 -0.0986749057412748 -0.00812194801719323 -0.0714826813687874 -0.0608097239419018 -0.011118873105289 0.0481819253885978 0.198358797787975 -0.138024961360698 -0.176793579486567 -0.620335186612398 0.0498762253949428 0.040286488006847 -0.0155882745293877 0.0486254823265775 0.0303517423998364 0.0407742746104259 0.0192080961962759 -0.0733188800524091 -0.0149502868296415 -0.00787662002267408 -0.0158373052723773 0.010098280945438 0.00397650384333725 0.000859613666795819 0.00988143250567808 0.014292333357713 0.00271236571762254
"key_strength" -0.0423156534874878 0.0831924971935775 -0.0593407846716453 0.343500628195611 0.0134960773397839 -0.0741262986117349 -0.0848030722540241 0.194346795991619 -0.0198928500998234 0.109380672799395 0.0669511381985365 -0.00652636174172314 -0.149667081999065 -0.0663142476371856 -0.245175102197028 0.0147018186046099 -0.0713475368259277 0.164014489137173 0.0246792085270586 0.166379505818177 -0.240860954912168 0.0580926440932098 0.209715421065434 0.134526932627834 -0.0995689368987594 0.0725798010810069 0.0393188827003522 0.15499899444404 0.111205305121446 -0.175193565234242 -0.250694983183403 0.225725146192396 -0.00860244279242715 -0.0556054643113645 -0.104461732020804 -0.114029563180937 0.159297514334667 -0.447390974776296 -0.108549774554377 -0.137981854690351 0.101255852407161 -0.152286417003251 -0.0063809724957308 0.0969958735737849 0.0307674768187549 -0.0328418179001917 0.00686445340754213 -0.0372054361305587 -0.0140067723352708 -0.0124737546295715 -0.0123595077101148 -0.020590865169868 0.033333757358711 -0.0362966656758504 0.0215669007222232 -0.00220387328579495 0.00270456462620801 0.00257477518656363 0.00273175225075428 0.00877567732441739 0.00631007980263087 -0.00344624394839841 -0.000194161521537891 -0.000793618035392597
"chords_key" 0.00432560480679181 0.0156542692956941 0.00378930632637351 0.0178539706758052 -0.00487210228920115 -0.0200639827433102 -0.0964477275116099 -0.0788676697768095 -0.257728623354904 -0.147238810083555 0.222099742884396 0.512825403017244 0.271604101569442 -0.0472559161222673 -0.113940638420065 0.00191161098464526 0.0697099144877754 -0.0292490004003638 0.0431158374436408 0.0146167407018839 0.244488004529411 -0.0604176401636636 0.318878059239237 -0.317167827692528 -0.421933454630521 -0.152272329223976 0.0825790018794846 -0.0609525212657242 0.0525977025983683 -0.0148309538217565 -0.0381809813307865 0.00696510102132529 -0.0105785467311259 0.0175663407606928 0.0024209058944013 -0.0323764385701943 -0.013119595202504 -0.00137830758569778 -0.0228577454186089 0.0157336894436345 0.0193917495089528 -0.00848691354793147 0.00332950954881318 0.0294468908961845 0.00635259192446666 -0.00469798182615774 -0.00323667925060661 0.00433471839433398 -0.00935030006932233 0.0123931987270429 -0.00193840813967911 0.00075174119694995 0.000361068717290039 -0.00788136698214732 -0.000600639880014964 -0.00054982546304478 0.00509754938069247 -0.00393512063088097 0.00242948305767499 -0.0094519333363122 -0.00403936492951977 -0.000863421124611963 -0.00366494729872672 0.000227652564630165
