"eigenvalue" "variance.percent" "cumulative.variance.percent"
"Dim.1" 14.9076753270539 23.2932426985217 23.2932426985217
"Dim.2" 8.812571140365 13.7696424068203 37.062885105342
"Dim.3" 3.93054248030883 6.14147262548254 43.2043577308246
"Dim.4" 3.70486710548693 5.78885485232332 48.9932125831479
"Dim.5" 3.07948338481729 4.81169278877701 53.8049053719249
"Dim.6" 2.23479863651842 3.49187286956003 57.2967782414849
"Dim.7" 2.11064239867769 3.29787874793388 60.5946569894188
"Dim.8" 1.80995163856844 2.82804943526319 63.422706424682
"Dim.9" 1.61892700468485 2.52957344482008 65.9522798695021
"Dim.10" 1.5307678944216 2.39182483503375 68.3441047045358
"Dim.11" 1.45043406287052 2.26630322323519 70.610407927771
"Dim.12" 1.26327578652238 1.97386841644121 72.5842763442122
"Dim.13" 1.18689462833906 1.85452285677978 74.438799200992
"Dim.14" 1.1320619091225 1.76884673300391 76.2076459339959
"Dim.15" 1.07521502050469 1.68002346953858 77.8876694035345
"Dim.16" 0.981810049528491 1.53407820238827 79.4217476059228
"Dim.17" 0.915109627021351 1.42985879222086 80.8516063981436
"Dim.18" 0.811922879277856 1.26862949887165 82.1202358970153
"Dim.19" 0.77907123811594 1.21729880955616 83.3375347065714
"Dim.20" 0.743035133887111 1.16099239669861 84.49852710327
"Dim.21" 0.712693533556404 1.11358364618188 85.6121107494519
"Dim.22" 0.681328492925584 1.06457577019622 86.6766865196482
"Dim.23" 0.648549096822477 1.01335796378512 87.6900444834333
"Dim.24" 0.620819405816349 0.970030321588045 88.6600748050213
"Dim.25" 0.600685422217324 0.938570972214569 89.5986457772359
"Dim.26" 0.580744310804852 0.90741298563258 90.5060587628685
"Dim.27" 0.562971255281444 0.879642586377255 91.3857013492457
"Dim.28" 0.52449988810787 0.819531075168546 92.2052324244143
"Dim.29" 0.501525769186623 0.783634014354097 92.9888664387684
"Dim.30" 0.460053398320744 0.718833434876162 93.7076998736445
"Dim.31" 0.380087515782281 0.593886743409814 94.3015866170543
"Dim.32" 0.347035317343044 0.542242683348506 94.8438293004028
"Dim.33" 0.324757592509801 0.507433738296564 95.3512630386994
"Dim.34" 0.280867579186701 0.43885559247922 95.7901186311786
"Dim.35" 0.238862275508027 0.373222305481292 96.1633409366599
"Dim.36" 0.226453126973861 0.353833010896657 96.5171739475566
"Dim.37" 0.201992940779231 0.315613969967548 96.8327879175241
"Dim.38" 0.183471631321633 0.286674423940051 97.1194623414642
"Dim.39" 0.171013625639917 0.267208790062371 97.3866711315266
"Dim.40" 0.160972038605399 0.251518810320937 97.6381899418475
"Dim.41" 0.146284880147568 0.228570125230574 97.8667600670781
"Dim.42" 0.132300033134546 0.206718801772728 98.0734788688508
"Dim.43" 0.130837215000138 0.204433148437715 98.2779120172885
"Dim.44" 0.123922451096145 0.193628829837727 98.4715408471262
"Dim.45" 0.106794291321363 0.166866080189629 98.6384069273159
"Dim.46" 0.105367513077883 0.164636739184192 98.8030436665
"Dim.47" 0.098370047631472 0.153703199424175 98.9567468659242
"Dim.48" 0.0898546303166893 0.140397859869827 99.0971447257941
"Dim.49" 0.0879931832452018 0.137489348820628 99.2346340746147
"Dim.50" 0.0714472569146896 0.111636338929202 99.3462704135439
"Dim.51" 0.0654552476124612 0.102273824394471 99.4485442379383
"Dim.52" 0.0637990105110734 0.0996859539235521 99.5482301918619
"Dim.53" 0.0533996224176411 0.0834369100275642 99.6316671018895
"Dim.54" 0.050221521470528 0.0784711272976999 99.7101382291872
"Dim.55" 0.0422460732348403 0.066009489429438 99.7761477186166
"Dim.56" 0.0333231761003902 0.0520674626568597 99.8282151812735
"Dim.57" 0.0280658932337414 0.0438529581777209 99.8720681394512
"Dim.58" 0.0201871304840056 0.0315423913812587 99.9036105308325
"Dim.59" 0.0194788335376361 0.0304356774025564 99.934046208235
"Dim.60" 0.0140175384660926 0.0219024038532697 99.9559486120883
"Dim.61" 0.0119763986433868 0.0187131228802919 99.9746617349686
"Dim.62" 0.00863659460212456 0.0134946790658196 99.9881564140344
"Dim.63" 0.00656299285079749 0.0102546763293711 99.9984110903638
"Dim.64" 0.00101690216720156 0.00158890963625244 100
